Date_start,Date_end,Duration,Total_Ah,Power_kW
1/1/2018 0:00,1/1/2018 1:00,,366.351,80.0476935
1/1/2018 1:00,1/1/2018 2:00,,372.432,81.376392
1/1/2018 2:00,1/1/2018 3:00,,363.617,79.4503145
1/1/2018 3:00,1/1/2018 4:00,,359.376,78.523656
1/1/2018 4:00,1/1/2018 5:00,,361.317,78.9477645
1/1/2018 5:00,1/1/2018 6:00,,379.883,83.0044355
1/1/2018 6:00,1/1/2018 7:00,,363.781,79.4861485
1/1/2018 7:00,1/1/2018 8:00,,396.233,86.5769105
1/1/2018 8:00,1/1/2018 9:00,,444.058,97.026673
1/1/2018 9:00,1/1/2018 10:00,,456.967,99.8472895
1/1/2018 10:00,1/1/2018 11:00,,447.145,97.7011825
1/1/2018 11:00,1/1/2018 12:00,,448.821,98.0673885
1/1/2018 12:00,1/1/2018 13:00,,462.283,101.0088355
1/1/2018 13:00,1/1/2018 14:00,,451.558,98.665423
1/1/2018 14:00,1/1/2018 15:00,,448.967,98.0992895
1/1/2018 15:00,1/1/2018 16:00,,452.601,98.8933185
1/1/2018 16:00,1/1/2018 17:00,,464.918,101.584583
1/1/2018 17:00,1/1/2018 18:00,,450.133,98.3540605
1/1/2018 18:00,1/1/2018 19:00,,415.94,90.88289
1/1/2018 19:00,1/1/2018 20:00,,422.956,92.415886
1/1/2018 20:00,1/1/2018 21:00,,409.983,89.5812855
1/1/2018 21:00,1/1/2018 22:00,,361.842,79.062477
1/1/2018 22:00,1/1/2018 23:00,,367.775,80.3588375
1/1/2018 23:00,2/1/2018 0:00,,376.35,82.232475
2/1/2018 0:00,2/1/2018 1:00,,366.248,80.025188
2/1/2018 1:00,2/1/2018 2:00,,368.951,80.6157935
2/1/2018 2:00,2/1/2018 3:00,,370.442,80.941577
2/1/2018 3:00,2/1/2018 4:00,,390.089,85.2344465
2/1/2018 4:00,2/1/2018 5:00,,360,78.66
2/1/2018 5:00,2/1/2018 6:00,,360.467,78.7620395
2/1/2018 6:00,2/1/2018 7:00,,383.6,83.8166
2/1/2018 7:00,2/1/2018 8:00,,513.608,112.223348
2/1/2018 8:00,2/1/2018 9:00,,601.817,131.4970145
2/1/2018 9:00,2/1/2018 10:00,,719.117,157.1270645
2/1/2018 10:00,2/1/2018 11:00,,836.532,182.782242
2/1/2018 11:00,2/1/2018 12:00,,851.433,186.0381105
2/1/2018 12:00,2/1/2018 13:00,,832.777,181.9617745
2/1/2018 13:00,2/1/2018 14:00,,864.988,188.999878
2/1/2018 14:00,2/1/2018 15:00,,866.45,189.319325
2/1/2018 15:00,2/1/2018 16:00,,947.054,206.931299
2/1/2018 16:00,2/1/2018 17:00,,909.077,198.6333245
2/1/2018 17:00,2/1/2018 18:00,,873.35,190.826975
2/1/2018 18:00,2/1/2018 19:00,,668.333,146.0307605
2/1/2018 19:00,2/1/2018 20:00,,604.2,132.0177
